DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2018-06-01 00:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4947.7	2018-09-01 04:16:12
2018-06-01 01:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4790.4	2018-09-01 04:16:12
2018-06-01 02:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4874.0	2018-09-01 04:16:12
2018-06-01 03:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5261.3	2018-09-01 04:16:12
2018-06-01 04:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6262.5	2018-09-01 04:16:12
2018-06-01 05:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7087.8	2018-09-01 04:16:12
2018-06-01 06:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7529.5	2018-09-01 04:16:12
2018-06-01 07:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7676.5	2018-09-01 04:16:12
2018-06-01 08:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7709.0	2018-09-01 04:16:12
2018-06-01 09:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7861.9	2018-09-01 04:16:12
2018-06-01 10:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7714.0	2018-09-01 04:16:12
2018-06-01 11:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7591.1	2018-09-01 04:16:12
2018-06-01 12:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7429.5	2018-09-01 04:16:12
2018-06-01 13:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7290.1	2018-09-01 04:16:12
2018-06-01 14:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7272.5	2018-09-01 04:16:12
2018-06-01 15:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7291.4	2018-09-01 04:16:12
2018-06-01 16:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	7253.9	2018-09-01 04:16:12
2018-06-01 17:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6997.1	2018-09-01 04:16:12
2018-06-01 18:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6780.8	2018-09-01 04:16:12
2018-06-01 19:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6490.7	2018-09-01 04:16:12
2018-06-01 20:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6292.4	2018-09-01 04:16:12
2018-06-01 21:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5759.4	2018-09-01 04:16:12
2018-06-01 22:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5426.3	2018-09-01 04:01:16
2018-06-01 23:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5065.9	2018-09-01 04:01:16
2018-06-02 00:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4937.6	2018-09-01 04:01:16
2018-06-02 01:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4774.0	2018-09-01 04:01:16
2018-06-02 02:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4756.3	2018-09-01 04:01:16
2018-06-02 03:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	4980.6	2018-09-01 04:01:16
2018-06-02 04:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5401.7	2018-09-01 04:01:16
2018-06-02 05:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	5916.3	2018-09-01 04:01:16
2018-06-02 06:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6321.7	2018-09-01 04:01:16
2018-06-02 07:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6549.3	2018-09-01 04:01:16
2018-06-02 08:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6684.5	2018-09-01 04:01:16
2018-06-02 09:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6755.5	2018-09-01 04:01:16
2018-06-02 10:00:00	PT15M	10YAT-APG------L	CTA	AT CTA	AT	6517.6	2018-09-01 04:01:16
