DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2018-01-01 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	799.6	2018-01-01 02:46:11
2018-01-01 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	783.2	2018-01-01 03:46:20
2018-01-01 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	776.8	2018-01-01 04:46:12
2018-01-01 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	779.2	2018-01-01 05:46:08
2018-01-01 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	780.5	2018-01-01 06:46:18
2018-01-01 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	791.0	2018-01-01 07:46:10
2018-01-01 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	807.6	2018-01-01 08:46:13
2018-01-01 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	804.0	2018-01-01 09:46:17
2018-01-01 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	841.8	2018-01-01 10:46:17
2018-01-01 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	877.0	2018-01-01 11:46:14
2018-01-01 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	897.7	2018-01-01 12:46:12
2018-01-01 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	904.3	2018-01-01 13:46:14
2018-01-01 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	913.7	2018-01-01 14:46:17
2018-01-01 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	946.4	2018-01-01 15:46:13
2018-01-01 14:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1002.9	2018-01-01 16:46:14
2018-01-01 15:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1010.8	2018-01-01 17:46:16
2018-01-01 16:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	998.9	2018-01-01 18:46:14
2018-01-01 17:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	977.2	2018-01-01 19:46:12
2018-01-01 18:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	946.5	2018-01-01 20:46:11
2018-01-01 19:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	912.3	2018-01-01 21:46:12
2018-01-01 20:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	870.1	2018-01-01 22:46:15
2018-01-01 21:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	819.6	2018-01-01 23:46:13
2018-01-01 22:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	771.6	2018-01-02 00:46:13
2018-01-01 23:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	741.5	2018-01-02 01:46:09
2018-01-02 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	723.7	2018-01-02 02:46:12
2018-01-02 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	719.1	2018-01-02 03:46:10
2018-01-02 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	724.6	2018-01-02 04:46:12
2018-01-02 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	765.1	2018-01-02 05:46:12
2018-01-02 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	866.1	2018-01-02 06:46:13
2018-01-02 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	987.6	2018-01-02 07:46:14
2018-01-02 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1096.2	2018-01-02 08:46:13
2018-01-02 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1136.6	2018-01-02 09:46:30
2018-01-02 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1156.6	2018-01-02 10:46:19
2018-01-02 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1162.1	2018-01-02 11:46:16
2018-01-02 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1154.6	2018-01-02 12:46:16
2018-01-02 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1171.3	2018-01-02 13:46:20
2018-01-02 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1161.4	2018-01-02 14:46:17
