DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2018-02-01 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	886.9	2018-02-01 02:46:29
2018-02-01 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	883.0	2018-02-01 03:46:33
2018-02-01 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	890.4	2018-02-01 04:46:28
2018-02-01 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	929.5	2018-02-01 05:46:26
2018-02-01 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1057.9	2018-02-01 06:46:31
2018-02-01 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1221.3	2018-02-01 07:46:34
2018-02-01 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1313.3	2018-02-01 08:46:33
2018-02-01 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1346.8	2018-02-01 09:46:42
2018-02-01 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1332.8	2018-02-01 11:01:42
2018-02-01 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1342.7	2018-02-01 11:46:39
2018-02-01 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1306.6	2018-02-01 12:46:45
2018-02-01 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1310.4	2018-02-01 13:46:31
2018-02-01 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1294.3	2018-02-01 14:46:19
2018-02-01 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1297.9	2018-02-01 17:01:58
2018-02-01 14:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1273.6	2018-02-01 17:31:46
2018-02-01 15:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1309.8	2018-02-01 18:02:15
2018-02-01 16:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1295.8	2018-02-01 18:46:39
2018-02-01 17:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1257.8	2018-02-01 19:46:30
2018-02-01 18:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1208.9	2018-02-01 21:01:50
2018-02-01 19:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1143.1	2018-02-01 22:16:45
2018-02-01 20:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1066.8	2018-02-01 23:31:58
2018-02-01 21:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	969.0	2018-02-02 00:01:49
2018-02-01 22:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	909.0	2018-02-02 01:01:50
2018-02-01 23:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	872.3	2018-02-02 01:46:25
2018-02-02 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	851.4	2018-02-02 03:01:53
2018-02-02 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	845.1	2018-02-02 03:46:35
2018-02-02 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	849.8	2018-02-02 04:46:31
2018-02-02 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	892.2	2018-02-02 05:46:27
2018-02-02 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1019.0	2018-02-02 06:46:35
2018-02-02 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1169.9	2018-02-02 08:32:16
2018-02-02 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1255.5	2018-02-02 09:02:41
2018-02-02 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1295.0	2018-02-02 09:47:27
2018-02-02 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1289.6	2018-02-02 10:47:41
2018-02-02 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1277.0	2018-02-02 11:47:02
2018-02-02 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1263.6	2018-02-02 12:46:40
2018-02-02 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1281.3	2018-02-02 13:46:51
2018-02-02 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1270.9	2018-02-02 15:02:13
2018-02-02 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1268.2	2018-02-02 15:46:32
2018-02-02 14:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1240.7	2018-02-02 16:46:38
