DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime	Week
2018-04-01 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	799.5	2018-05-04 14:46:01	1
2018-04-01 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	797.6	2018-05-04 14:46:01	1
2018-04-01 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	803.9	2018-05-04 14:46:01	1
2018-04-01 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	809.5	2018-05-04 14:01:37	1
2018-04-01 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	820.2	2018-05-04 14:01:37	1
2018-04-01 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	885.9	2018-05-04 14:01:22	1
2018-04-01 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	951.0	2018-05-04 14:46:01	1
2018-04-01 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	977.3	2018-05-04 14:01:11	1
2018-04-01 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	985.0	2018-05-04 14:46:01	1
2018-04-01 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	975.1	2018-05-04 14:01:11	1
2018-04-01 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	955.0	2018-05-04 14:01:11	1
2018-04-01 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	946.1	2018-05-04 14:01:11	1
2018-04-01 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	940.1	2018-05-04 14:01:11	1
2018-04-01 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	948.1	2018-05-04 14:01:11	1
2018-04-01 14:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	958.8	2018-05-04 14:01:11	1
2018-04-01 15:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	976.3	2018-05-04 14:01:11	1
2018-04-01 16:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1001.4	2018-05-04 14:01:11	1
2018-04-01 17:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1050.8	2018-05-04 14:01:11	1
2018-04-01 18:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1037.9	2018-05-04 14:01:11	1
2018-04-01 19:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	977.0	2018-05-04 14:01:11	1
2018-04-01 20:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	902.2	2018-05-04 14:01:11	1
2018-04-01 21:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	859.3	2018-05-04 14:01:11	1
2018-04-01 22:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	834.7	2018-05-04 14:01:11	1
2018-04-01 23:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	824.4	2018-05-04 14:01:11	1
2018-04-02 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	812.1	2018-05-04 14:01:11	2
2018-04-02 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	822.5	2018-05-04 14:01:11	2
2018-04-02 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	861.0	2018-05-04 14:01:11	2
2018-04-02 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	972.8	2018-05-04 14:01:11	2
2018-04-02 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1103.0	2018-05-04 14:01:11	2
2018-04-02 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1222.9	2018-05-04 14:01:11	2
2018-04-02 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1275.7	2018-05-04 14:01:11	2
2018-04-02 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1281.9	2018-05-04 14:01:11	2
2018-04-02 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1276.2	2018-05-04 14:01:11	2
2018-04-02 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1252.6	2018-05-04 14:01:11	2
2018-04-02 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1268.3	2018-05-04 14:01:11	2
2018-04-02 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	1247.5	2018-05-04 14:46:15	2
