DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2018-12-01 00:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	27055.0	2018-12-02 07:15:49
2018-12-01 01:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	25837.0	2018-12-02 07:15:49
2018-12-01 02:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	25435.0	2018-12-02 07:15:49
2018-12-01 03:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	25349.0	2018-12-02 07:15:49
2018-12-01 04:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	25974.0	2018-12-02 07:15:49
2018-12-01 05:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	29017.0	2018-12-02 07:15:49
2018-12-01 06:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	32589.0	2018-12-02 07:15:49
2018-12-01 07:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	35429.0	2018-12-02 07:15:49
2018-12-01 08:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	36732.0	2018-12-02 07:15:49
2018-12-01 09:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	36616.0	2018-12-02 07:15:49
2018-12-01 10:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	35675.0	2018-12-02 07:15:49
2018-12-01 11:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	33823.0	2018-12-02 07:15:49
2018-12-01 12:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	32492.0	2018-12-02 07:15:49
2018-12-01 13:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	32340.0	2018-12-02 07:15:49
2018-12-01 14:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	32620.0	2018-12-02 07:15:49
2018-12-01 15:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	34657.0	2018-12-02 07:15:49
2018-12-01 16:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	37733.0	2018-12-02 07:15:49
2018-12-01 17:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	38119.0	2018-12-02 07:15:49
2018-12-01 18:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	37942.0	2018-12-02 07:15:49
2018-12-01 19:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	35631.0	2018-12-02 07:15:49
2018-12-01 20:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	33121.0	2018-12-02 07:15:49
2018-12-01 21:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	30865.0	2018-12-02 07:15:49
2018-12-01 22:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	28746.0	2018-12-02 07:15:49
2018-12-01 23:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	26281.0	2018-12-03 07:15:48
2018-12-02 00:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	24385.0	2018-12-03 07:15:48
2018-12-02 01:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	23192.0	2018-12-03 07:15:48
2018-12-02 02:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	22506.0	2018-12-03 07:15:48
2018-12-02 03:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	22272.0	2018-12-03 07:15:48
2018-12-02 04:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	22842.0	2018-12-03 07:15:48
2018-12-02 05:00:00	PT60M	10YIT-GRTN-----B	CTA	IT CTA	IT	24241.0	2018-12-03 07:15:48
